Section,Division,Group,Class,Activity,ISICRev. 4
A,,,,"Agriculture, Forestry And Fishing",
,01,,,"Crop and animal production, hunting and related service activities",
,,01.1,,Growing of non-perennial crops,
,,,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",0111
,,,01.12,Growing of rice,0112
,,,01.13,"Growing of vegetables and melons, roots and tubers",0113
,,,01.14,Growing of sugar cane,0114
,,,01.15,Growing of tobacco,0115
,,,01.16,Growing of fibre crops,0116
,,,01.19,Growing of other non-perennial crops,0119
,,01.2,,Growing of perennial crops,
,,,01.21,Growing of grapes,0121
,,,01.22,Growing of tropical and subtropical fruits,0122
,,,01.23,Growing of citrus fruits,0123
,,,01.24,Growing of pome fruits and stone fruits,0124
,,,01.25,Growing of other tree and bush fruits and nuts,0125
,,,01.26,Growing of oleaginous fruits,0126
,,,01.27,Growing of beverage crops,0127
,,,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",0128
,,,01.29,Growing of other perennial crops,0129
,,01.3,,Plant propagation,
,,,01.30,Plant propagation,0130
,,01.4,,Animal production,
,,,01.41,Raising of dairy cattle,0141*
,,,01.42,Raising of other cattle and buffaloes,0141*
,,,01.43,Raising of horses and other equines,0142
,,,01.44,Raising of camels and camelids,0143
,,,01.45,Raising of sheep and goats,0144
,,,01.46,Raising of swine/pigs,0145
,,,01.47,Raising of poultry,0146
,,,01.49,Raising of other animals,0149
,,01.5,,Mixed farming,
,,,01.50,Mixed farming,0150
,,01.6,,Support activities to agriculture and post-harvest crop activities,
,,,01.61,Support activities for crop production,0161
,,,01.62,Support activities for animal production,0162
,,,01.63,Post-harvest crop activities,0163
,,,01.64,Seed processing for propagation,0164
,,01.7,,"Hunting, trapping and related service activities",
,,,01.70,"Hunting, trapping and related service activities",0170
,02,,,Forestry and logging,
,,02.1,,Silviculture and other forestry activities,
,,,02.10,Silviculture and other forestry activities,0210
,,02.2,,Logging,
,,,02.20,Logging,0220
,,02.3,,Gathering of wild growing non-wood products,
,,,02.30,Gathering of wild growing non-wood products,0230
,,02.4,,Support services to forestry,
,,,02.40,Support services to forestry,0240
,03,,,Fishing and aquaculture,
,,03.1,,Fishing,
,,,03.11,Marine fishing,0311
,,,03.12,Freshwater fishing,0312
,,03.2,,Aquaculture,
,,,03.21,Marine aquaculture,0321
,,,03.22,Freshwater aquaculture,0322
B,,,,Mining And Quarrying,
,05,,,Mining of coal and lignite,
,,05.1,,Mining of hard coal,
,,,05.10,Mining of hard coal,0510
,,05.2,,Mining of lignite,
,,,05.20,Mining of lignite,0520
,06,,,Extraction of crude petroleum and natural gas,
,,06.1,,Extraction of crude petroleum,
,,,06.10,Extraction of crude petroleum,0610
,,06.2,,Extraction of natural gas,
,,,06.20,Extraction of natural gas,0620
,07,,,Mining of metal ores,
,,07.1,,Mining of iron ores,
,,,07.10,Mining of iron ores,0710
,,07.2,,Mining of non-ferrous metal ores,
,,,07.21,Mining of uranium and thorium ores,0721
,,,07.29,Mining of other non-ferrous metal ores,0729
,08,,,Other mining and quarrying,
,,08.1,,"Quarrying of stone, sand and clay",
,,,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",0810*
,,,08.12,Operation of gravel and sand pits; mining of clays and kaolin,0810*
,,08.9,,Mining and quarrying n.e.c.,
,,,08.91,Mining of chemical and fertiliser minerals,0891
,,,08.92,Extraction of peat,0892
,,,08.93,Extraction of salt,0893
,,,08.99,Other mining and quarrying n.e.c.,0899
,09,,,Mining support service activities,
,,09.1,,Support activities for petroleum and natural gas extraction,
,,,09.10,Support activities for petroleum and natural gas extraction,0910
,,09.9,,Support activities for other mining and quarrying,
,,,09.90,Support activities for other mining and quarrying,0990
C,,,,Manufacturing,
,10,,,Manufacture of food products,
,,10.1,,Processing and preserving of meat and production of meat products,
,,,10.11,Processing and preserving of meat,1010*
,,,10.12,Processing and preserving of poultry meat,1010*
,,,10.13,Production of meat and poultry meat products,1010*
,,10.2,,"Processing and preserving of fish, crustaceans and molluscs",
,,,10.20,"Processing and preserving of fish, crustaceans and molluscs",1020
,,10.3,,Processing and preserving of fruit and vegetables,
,,,10.31,Processing and preserving of potatoes,1030*
,,,10.32,Manufacture of fruit and vegetable juice,1030*
,,,10.39,Other processing and preserving of fruit and vegetables,1030*
,,10.4,,Manufacture of vegetable and animal oils and fats,
,,,10.41,Manufacture of oils and fats,1040*
,,,10.42,Manufacture of margarine and similar edible fats,1040*
,,10.5,,Manufacture of dairy products,
,,,10.51,Operation of dairies and cheese making,1050*
,,,10.52,Manufacture of ice cream,1050*
,,10.6,,"Manufacture of grain mill products, starches and starch products",
,,,10.61,Manufacture of grain mill products,1061
,,,10.62,Manufacture of starches and starch products,1062
,,10.7,,Manufacture of bakery and farinaceous products,
,,,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,1071*
,,,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,1071*
,,,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1074
,,10.8,,Manufacture of other food products,
,,,10.81,Manufacture of sugar,1072
,,,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",1073
,,,10.83,Processing of tea and coffee,1079*
,,,10.84,Manufacture of condiments and seasonings,1079*
,,,10.85,Manufacture of prepared meals and dishes,1075
,,,10.86,Manufacture of homogenised food preparations and dietetic food,1079*
,,,10.89,Manufacture of other food products n.e.c.,1079*
,,10.9,,Manufacture of prepared animal feeds,
,,,10.91,Manufacture of prepared feeds for farm animals,1080*
,,,10.92,Manufacture of prepared pet foods,1080*
,11,,,Manufacture of beverages,
,,11.0,,Manufacture of beverages,
,,,11.01,"Distilling, rectifying and blending of spirits",1101
,,,11.02,Manufacture of wine from grape,1102*
,,,11.03,Manufacture of cider and other fruit wines,1102*
,,,11.04,Manufacture of other non-distilled fermented beverages,1102*
,,,11.05,Manufacture of beer,1103*
,,,11.06,Manufacture of malt,1103*
,,,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,1104
,12,,,Manufacture of tobacco products,
,,12.0,,Manufacture of tobacco products,
,,,12.00,Manufacture of tobacco products,1200
,13,,,Manufacture of textiles,
,,13.1,,Preparation and spinning of textile fibres,
,,,13.10,Preparation and spinning of textile fibres,1311
,,13.2,,Weaving of textiles,
,,,13.20,Weaving of textiles,1312
,,13.3,,Finishing of textiles,
,,,13.30,Finishing of textiles,1313
,,13.9,,Manufacture of other textiles,
,,,13.91,Manufacture of knitted and crocheted fabrics,1391
,,,13.92,"Manufacture of made-up textile articles, except apparel",1392
,,,13.93,Manufacture of carpets and rugs,1393
,,,13.94,"Manufacture of cordage, rope, twine and netting",1394
,,,13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel",1399*
,,,13.96,Manufacture of other technical and industrial textiles,1399*
,,,13.99,Manufacture of other textiles n.e.c.,1399*
,14,,,Manufacture of wearing apparel,
,,14.1,,"Manufacture of wearing apparel, except fur apparel",
,,,14.11,Manufacture of leather clothes,1410*
